,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
558,38059,1.9436822,0.81433,28.880865,12.099999,0.35256845,16.780865,"Morton County, ND"
559,38061,1.8073475,0.96239,26.85509,14.3,0.20087191,12.555089,"Mountrail County, ND"
560,38063,1.9947639,1.87094,29.63988,27.8,0.14386025,1.83988,"Nelson County, ND"
561,38065,1.8783703,0.72684,27.910406,10.8,0.2543609,17.110405,"Oliver County, ND"
562,38067,1.958013,1.96516,29.093805,29.2,0.16262917,-0.10619545,"Pembina County, ND"
563,38069,1.7781897,1.07007,26.421837,15.900001,0.15695637,10.521836,"Pierce County, ND"
564,38071,1.8341897,2.12668,27.253933,31.599998,0.13313374,-4.3460655,"Ramsey County, ND"
565,38073,2.7104583,2.34877,40.27427,34.899998,0.22770166,5.3742714,"Ransom County, ND"
566,38075,2.0538833,1.50079,30.518326,22.300001,0.1912552,8.218325,"Renville County, ND"
567,38077,2.9902453,2.50356,44.43158,37.2,0.23598862,7.231579,"Richland County, ND"
568,38079,1.716301,1.76326,25.502243,26.2,0.1726472,-0.6977577,"Rolette County, ND"
569,38081,2.931625,2.30166,43.560547,34.2,0.20859309,9.360546,"Sargent County, ND"
570,38083,1.9347768,1.03642,28.74854,15.4,0.15564898,13.348541,"Sheridan County, ND"
571,38085,2.074332,1.15083,30.82217,17.1,0.3141725,13.72217,"Sioux County, ND"
572,38091,2.2327986,2.12668,33.1768,31.599998,0.14864044,1.5768013,"Steele County, ND"
573,38093,2.226639,1.92478,33.085278,28.6,0.18560286,4.485277,"Stutsman County, ND"
574,38095,1.7844784,2.10649,26.515282,31.3,0.14740229,-4.7847176,"Towner County, ND"
575,38097,2.386836,1.81037,35.46562,26.9,0.1520628,8.5656185,"Traill County, ND"
576,38099,2.084775,1.76326,30.97734,26.2,0.15514855,4.77734,"Walsh County, ND"
577,38101,1.9209104,1.25178,28.542501,18.6,0.17847687,9.942501,"Ward County, ND"
578,38103,1.9126377,1.50752,28.41958,22.4,0.17576914,6.019581,"Wells County, ND"
579,38105,1.4987073,1.11718,22.269054,16.6,0.23305257,5.669054,"Williams County, ND"
580,39003,4.08502,4.34085,60.698666,64.5,0.18317468,-3.8013344,"Allen County, OH"
581,39005,3.5303078,3.58709,52.456284,53.3,0.21720874,-0.84371567,"Ashland County, OH"
582,39007,3.4670782,3.0958,51.516766,46.0,0.22965662,5.5167656,"Ashtabula County, OH"
583,39009,3.7050133,3.56017,55.052204,52.899998,0.31214246,2.1522064,"Athens County, OH"
584,39011,4.0892897,4.1053,60.762104,61.0,0.17877771,-0.23789597,"Auglaize County, OH"
585,39015,3.6610298,3.41884,54.39866,50.8,0.19819087,3.5986595,"Brown County, OH"
586,39017,3.7119465,3.67458,55.155224,54.600002,0.22400767,0.55522156,"Butler County, OH"
587,39019,3.3797197,2.69873,50.21872,40.1,0.33008114,10.118721,"Carroll County, OH"
588,39021,3.981206,4.03127,59.156105,59.9,0.18314734,-0.7438965,"Champaign County, OH"
