,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
180,19015,12.989852,14.02532,193.01414,208.40001,0.39277372,-15.385864
181,19017,13.314911,14.17338,197.84415,210.6,0.42184335,-12.755859
182,19019,13.35063,13.83688,198.3749,205.59999,0.43875474,-7.2250977
183,19021,12.989844,13.53403,193.01404,201.1,0.4112244,-8.085968
184,19023,13.428134,13.95129,199.5265,207.3,0.39072904,-7.7734985
185,19025,13.043853,13.95129,193.81654,207.3,0.37812027,-13.483459
186,19027,13.010994,13.66863,193.3283,203.09999,0.39389768,-9.771698
187,19029,12.311145,13.18407,182.92935,195.9,0.4595012,-12.970642
188,19031,14.171025,14.48969,210.56502,215.3,0.3918104,-4.7349854
189,19033,12.75464,13.02928,189.51917,193.59999,0.42008576,-4.080826
190,19035,13.249545,14.78581,196.87288,219.70001,0.44535208,-22.827133
191,19037,13.154093,13.90418,195.45457,206.59999,0.41450274,-11.145416
192,19039,10.349122,11.03047,153.77596,163.9,0.6359229,-10.124039
193,19041,12.423274,13.5946,184.59546,202.0,0.43594906,-17.404541
194,19043,13.444071,14.15319,199.7633,210.3,0.4411793,-10.536697
195,19045,14.126882,14.38874,209.90909,213.8,0.40167016,-3.890915
196,19047,13.281938,14.36855,197.3542,213.5,0.40761137,-16.145798
197,19049,12.40557,13.7292,184.3324,204.0,0.44494438,-19.667603
198,19051,11.802833,12.69951,175.37642,188.7,0.586004,-13.323578
199,19053,11.101873,12.18803,164.96097,181.1,0.60735637,-16.139038
200,19055,13.742705,13.61479,204.20067,202.3,0.4229644,1.9006653
201,19057,12.937573,14.133,192.23735,210.00002,0.48308477,-17.762665
202,19059,11.948337,12.6524,177.53844,188.0,0.44988826,-10.461563
203,19061,13.647573,14.23395,202.78712,211.5,0.46245772,-8.712875
204,19063,12.794011,13.35905,190.10417,198.5,0.38088474,-8.395828
205,19065,13.127603,13.62825,195.06096,202.5,0.4179888,-7.439041
206,19067,12.714894,13.21099,188.92859,196.3,0.4150213,-7.371414
207,19069,13.536337,13.78304,201.13428,204.8,0.3735525,-3.6657257
208,19071,12.253798,12.16784,182.07722,180.8,0.5083602,1.2772217
209,19073,13.119185,13.83015,194.9359,205.5,0.38542002,-10.564102
210,19075,13.543538,13.35905,201.24129,198.5,0.3619602,2.7412872
211,19077,11.931249,13.33886,177.28453,198.2,0.46479642,-20.915466
212,19079,13.077003,14.0657,194.3091,209.0,0.39782032,-14.690903
213,19081,13.162204,13.48019,195.57509,200.3,0.39683446,-4.7249146
214,19083,13.614131,13.9984,202.2902,208.0,0.37895682,-5.709793
215,19085,12.660764,13.76958,188.12428,204.6,0.47629365,-16.475723
216,19087,12.777116,13.3927,189.85313,199.0,0.4841325,-9.146866
217,19089,12.810542,13.60806,190.34981,202.2,0.40525505,-11.850189
218,19091,13.021221,13.87053,193.48026,206.1,0.38952708,-12.619751
219,19093,13.483339,14.5368,200.3468,216.00002,0.42509732,-15.6532135
220,19095,13.704793,14.17338,203.63734,210.6,0.43132952,-6.9626617
221,19097,13.26999,13.60133,197.17667,202.1,0.5021908,-4.92334
222,19099,13.649127,14.44931,202.81021,214.70001,0.40843233,-11.889801
223,19101,12.447728,13.2581,184.95882,197.0,0.48589405,-12.041183
224,19103,13.324289,12.7197,197.9835,189.0,0.4677278,8.983505
225,19105,13.781407,13.54749,204.77574,201.3,0.4298194,3.4757385
226,19107,13.182472,14.03878,195.87627,208.6,0.43859956,-12.72374
227,19109,13.069459,13.77631,194.19702,204.7,0.3957681,-10.502975
228,19111,12.447685,13.09658,184.95818,194.59999,0.51163894,-9.641815
229,19113,13.677335,13.48019,203.22934,200.3,0.4292477,2.9293365
230,19115,12.903325,13.47346,191.72845,200.20001,0.48933843,-8.471558
231,19117,10.914817,11.75058,162.18153,174.6,0.63495976,-12.418472
232,19119,13.078916,13.92437,194.33752,206.9,0.49600518,-12.5624695
233,19121,11.442816,12.48415,170.02698,185.5,0.53615963,-15.473022
234,19123,13.231042,13.77631,196.59795,204.7,0.4233698,-8.102051
235,19125,12.247935,13.3254,181.99013,198.0,0.49311286,-16.009872
236,19127,13.790593,14.22049,204.91223,211.3,0.3902329,-6.3877716
237,19129,12.335111,12.67932,183.28545,188.40001,0.4886495,-5.114563
238,19131,13.103076,13.39943,194.69652,199.1,0.40517604,-4.403488
239,19133,12.464324,12.41685,185.20541,184.5,0.5175859,0.7054138
240,19135,11.302124,12.114,167.93646,180.0,0.584849,-12.063538
241,19137,12.134135,12.48415,180.2992,185.5,0.47390854,-5.2008057
242,19139,13.333167,13.6619,198.11542,203.0,0.4530543,-4.8845825
243,19141,13.146619,14.18011,195.34352,210.7,0.4269099,-15.356476
244,19143,12.395555,13.70901,184.18358,203.7,0.43491992,-19.516418
245,19145,11.9604,12.50434,177.71768,185.8,0.4935835,-8.082321
246,19147,12.828837,13.1908,190.62166,196.0,0.40923643,-5.3783417
247,19149,12.989159,14.07916,193.00385,209.2,0.4857061,-16.196152
248,19151,13.048106,13.91764,193.87973,206.8,0.39242294,-12.920273
249,19153,12.809803,13.44654,190.33882,199.8,0.4688136,-9.461182
250,19155,12.893405,14.15992,191.58105,210.4,0.46340364,-18.81894
251,19157,13.762818,14.34836,204.49953,213.2,0.40937787,-8.70047
252,19159,10.670421,12.08035,158.55008,179.5,0.6276898,-20.94992
253,19161,13.341095,14.42239,198.23322,214.3,0.37532362,-16.066788
254,19163,14.079059,14.5368,209.1985,216.00002,0.4391446,-6.8015137
