,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
296,27003,2.7608194,2.65162,41.02258,39.399998,0.2478482,1.6225815
297,27005,3.131924,2.59105,46.53676,38.5,0.1937441,8.036758
298,27007,2.7860572,1.93824,41.397583,28.800001,0.25592023,12.597582
299,27009,3.419453,3.2977,50.80911,49.0,0.23353142,1.8091087
300,27011,3.6258357,2.53721,53.875717,37.7,0.16270457,16.175716
301,27013,3.8017018,3.42557,56.488884,50.9,0.18452848,5.5888824
302,27015,3.811598,3.29097,56.63593,48.9,0.17245586,7.7359276
303,27019,3.8501072,3.51979,57.20813,52.3,0.16773978,4.9081306
304,27021,2.8616488,1.87767,42.520786,27.900002,0.28449127,14.620785
305,27025,3.0115707,2.51702,44.74845,37.4,0.23120135,7.3484497
306,27027,3.2807963,2.58432,48.748833,38.4,0.17267486,10.348831
307,27029,2.986157,2.56413,44.37083,38.100002,0.19015302,6.2708282
308,27033,3.8624754,3.22367,57.391907,47.9,0.17001732,9.491905
309,27037,3.662177,3.82264,54.415707,56.8,0.25179127,-2.3842926
310,27039,3.9724224,3.64766,59.025593,54.2,0.20748274,4.825592
311,27045,3.8936954,3.82264,57.8558,56.8,0.21668288,1.0558014
312,27047,3.9057186,3.60055,58.03445,53.5,0.18742742,4.5344505
313,27049,3.882515,3.79572,57.689674,56.4,0.19598475,1.2896729
314,27051,3.740617,2.85352,55.581234,42.399998,0.19298585,13.181236
315,27053,3.4633977,3.13618,51.46208,46.6,0.21378511,4.8620796
316,27057,2.942561,2.20744,43.723045,32.8,0.26412764,10.923046
317,27059,2.9886076,2.38915,44.407246,35.5,0.22357406,8.907246
318,27061,2.8675163,1.93824,42.607967,28.800001,0.24161735,13.807966
319,27063,3.57811,2.8266,53.16657,42.0,0.1670957,11.166569
320,27067,3.7793188,3.20348,56.1563,47.600002,0.16886577,8.556297
321,27069,2.9439883,2.61124,43.744255,38.8,0.14414296,4.944256
322,27071,2.5591848,1.6825,38.02652,25.0,0.24968898,13.02652
323,27073,3.96254,3.13618,58.87875,46.6,0.16484576,12.278751
324,27079,3.8957462,3.25732,57.886276,48.399998,0.17986816,9.486279
325,27085,3.7084095,2.92755,55.10267,43.5,0.16583046,11.602669
326,27087,3.124542,2.49683,46.427074,37.1,0.17798676,9.327076
327,27089,2.8768096,2.59778,42.746056,38.6,0.16485392,4.146057
328,27095,3.2092447,2.72565,47.685658,40.5,0.21094865,7.1856575
329,27097,3.3527918,3.21694,49.8186,47.8,0.24716948,2.0186005
330,27099,3.9509065,3.80918,58.70589,56.600002,0.21876708,2.1058884
331,27103,4.057749,3.60728,60.293446,53.600002,0.14616002,6.6934433
332,27105,3.6437535,2.97466,54.141956,44.2,0.15955926,9.941956
333,27107,2.9802048,2.30839,44.28239,34.3,0.17115916,9.982391
334,27113,2.5452752,2.4901,37.81984,37.0,0.18479457,0.8198395
335,27115,3.0991302,2.42953,46.049484,36.1,0.22179344,9.949486
336,27119,3.0195692,2.88044,44.8673,42.8,0.15549825,2.067299
337,27121,3.7982695,3.02177,56.43788,44.9,0.20160125,11.53788
338,27125,2.7597492,2.83333,41.006676,42.1,0.19926825,-1.0933228
339,27129,3.7296157,3.01504,55.417767,44.8,0.1561508,10.617767
340,27131,3.6729565,3.06888,54.57588,45.600002,0.18832144,8.975876
341,27135,2.7263904,2.48337,40.511,36.9,0.18974122,3.611
342,27139,3.8065393,3.35827,56.560764,49.899998,0.18053778,6.6607666
343,27141,2.8956342,3.00831,43.02577,44.7,0.29413363,-1.6742325
344,27143,3.7020073,3.12272,55.007538,46.4,0.1574876,8.607536
345,27145,3.7372873,3.23713,55.531757,48.1,0.20108263,7.431759
346,27147,3.8324234,3.29097,56.94537,48.9,0.1858575,8.045368
347,27149,3.8379347,2.86698,57.027264,42.600002,0.16925636,14.427261
348,27151,3.808367,2.92755,56.58792,43.5,0.1790683,13.087921
349,27153,3.2715552,2.40934,48.61152,35.8,0.234252,12.81152
350,27161,3.7923467,3.35154,56.349876,49.800003,0.17343903,6.5498734
351,27163,3.6031587,3.45922,53.53876,51.399998,0.25142792,2.1387634
352,27165,3.9053242,3.4996,58.02859,52.0,0.18382569,6.028591
353,27167,3.3279574,2.57759,49.44959,38.3,0.18664442,11.14959
354,27169,3.899796,3.73515,57.94645,55.500004,0.20902783,2.4464455
355,29005,4.5474014,4.1726,67.569115,61.999996,0.2982993,5.5691185
356,29007,3.5947354,3.47941,53.4136,51.7,0.23830622,1.7136002
357,29011,2.640056,2.14687,39.228172,31.9,0.27198452,7.3281727
358,29019,3.4658127,3.22367,51.49796,47.9,0.2811739,3.5979576
359,29021,4.0239573,3.95724,59.79134,58.800003,0.2872549,0.9913368
360,29025,3.57387,3.43903,53.103565,51.1,0.24726906,2.0035667
361,29027,3.6988616,3.25732,54.960796,48.399998,0.29008165,6.5607986
362,29031,2.7714384,2.59105,41.180363,38.5,0.27361605,2.6803627
363,29033,3.9413126,3.82937,58.563335,56.9,0.2685262,1.6633339
364,29037,2.8524828,2.2882,42.38459,34.0,0.28590825,8.38459
365,29039,2.4483762,1.77672,36.38003,26.400002,0.33907998,9.98003
366,29045,3.8242848,3.85629,56.82444,57.300003,0.27220032,-0.47556305
367,29047,3.3211668,3.58709,49.34869,53.3,0.2964164,-3.9513092
368,29049,3.937644,4.07838,58.508827,60.600002,0.27963662,-2.091175
