,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
147,19037,4.1656227,3.93032,61.896328,58.4,0.1649872,3.4963264
148,19041,3.996668,3.32462,59.385857,49.4,0.17050985,9.985855
149,19045,4.714678,4.38796,70.05465,65.2,0.17926453,4.8546524
150,19047,4.665482,4.20625,69.323654,62.500004,0.201716,6.8236504
151,19049,4.595908,4.34085,68.28987,64.5,0.24116291,3.7898712
152,19051,3.839611,3.97743,57.05217,59.100002,0.22077392,-2.0478325
153,19053,3.7409475,3.44576,55.586143,51.2,0.3327616,4.3861427
154,19055,4.53216,4.09857,67.34264,60.899998,0.1774515,6.442646
155,19059,3.7809896,3.10253,56.181126,46.100002,0.16198285,10.081123
156,19065,4.1931496,3.78899,62.305344,56.3,0.1593611,6.0053444
157,19067,4.247622,3.74188,63.114742,55.6,0.1804078,7.514744
158,19069,4.473234,3.91686,66.46708,58.2,0.17319046,8.267078
159,19073,4.656144,4.15914,69.184906,61.800003,0.19265853,7.384903
160,19079,4.533251,3.94378,67.35886,58.6,0.18742208,8.758858
161,19081,4.408326,3.91686,65.50262,58.2,0.1681026,7.302616
162,19087,4.5768156,4.46872,68.00618,66.4,0.1979385,1.6061783
163,19089,4.123123,3.71496,61.26483,55.2,0.15445465,6.064831
164,19091,4.262847,3.81591,63.340965,56.7,0.19513968,6.6409645
165,19093,4.723293,4.27355,70.182655,63.5,0.16858597,6.6826553
166,19095,4.467271,4.09857,66.37847,60.899998,0.2020949,5.4784737
167,19097,4.3919325,4.34758,65.259026,64.6,0.19252694,0.6590271
168,19101,4.2290196,4.07165,62.83833,60.5,0.19848916,2.3383293
169,19103,4.5112767,4.27355,67.03234,63.5,0.19586934,3.532341
170,19105,4.5454226,4.29374,67.53971,63.8,0.1893227,3.7397118
171,19107,4.3679066,4.24663,64.90203,63.100002,0.19604489,1.8020287
172,19111,4.3392444,4.50237,64.47614,66.9,0.21075182,-2.4238586
173,19115,4.5502625,4.33412,67.611626,64.399994,0.19647142,3.2116318
174,19123,4.537678,4.48891,67.42464,66.700005,0.21721391,0.72463226
175,19125,4.362897,4.28028,64.82759,63.600002,0.24260305,1.2275887
176,19129,4.6485643,4.11203,69.07228,61.100002,0.30265933,7.9722786
177,19131,4.393965,4.1726,65.28922,61.999996,0.17458954,3.2892265
178,19133,4.373028,3.71496,64.97813,55.2,0.31130475,9.778126
179,19135,3.7626948,3.78899,55.909286,56.3,0.23377194,-0.39071274
180,19137,4.658947,4.14568,69.226555,61.6,0.2511884,7.6265564
181,19139,4.7203794,4.21298,70.139366,62.6,0.19360685,7.5393677
182,19141,4.3098726,3.79572,64.03971,56.4,0.15051743,7.6397095
183,19145,4.568699,4.03127,67.885574,59.9,0.2728144,7.985573
184,19147,4.184054,3.61401,62.170193,53.7,0.17947207,8.470192
185,19151,4.497609,3.91013,66.82926,58.100002,0.17978615,8.7292595
186,19153,4.420474,4.15241,65.68312,61.7,0.2649396,3.98312
187,19155,4.5659437,4.18606,67.844635,62.2,0.2798126,5.6446342
188,19157,4.613183,4.14568,68.546555,61.6,0.20122394,6.946556
189,19161,4.6721616,4.3072,69.422905,64.0,0.17616332,5.422905
190,19163,4.891882,4.71773,72.6877,70.1,0.20061617,2.5877
191,19165,4.686374,4.29374,69.63409,63.8,0.1976753,5.8340874
192,19169,4.452339,4.25336,66.1566,63.199997,0.21128747,2.956604
193,19173,4.216165,4.14568,62.647327,61.6,0.27397218,1.047329
194,19177,4.0795956,4.13222,60.61806,61.399998,0.21825339,-0.78193665
195,19185,3.935594,3.80918,58.478367,56.600002,0.26854897,1.8783646
196,19187,4.5614557,4.02454,67.77795,59.8,0.19794929,7.977947
197,19189,4.2492185,3.62074,63.138462,53.8,0.16087607,9.338463
198,19191,4.2245665,3.7015,62.772163,55.0,0.16427621,7.7721634
199,19193,4.5220404,3.95724,67.192276,58.800003,0.22178479,8.392273
