,FIPS,y_test_pred,y_test,y_test_pred_uncertainty,y_test_pred_cv,pred_error
407,27103,105.915855,-1.0,12.141497,0.11463342,106.915855
408,27105,109.79425,-1.0,13.182847,0.12006865,110.79425
409,27107,95.08078,-1.0,14.209979,0.14945164,96.08078
410,27109,103.50838,-1.0,12.614943,0.12187364,104.50838
411,27111,102.617256,-1.0,13.854015,0.13500668,103.617256
412,27115,95.014336,-1.0,14.259814,0.15008067,96.014336
413,27117,103.65066,-1.0,13.999373,0.13506305,104.65066
414,27119,98.30085,-1.0,14.00921,0.14251362,99.30085
415,27121,91.955635,-1.0,14.296297,0.1554695,92.955635
416,27125,99.94162,-1.0,13.803718,0.1381178,100.94162
417,27127,107.41258,-1.0,13.366669,0.1244423,108.41258
418,27129,95.87388,-1.0,13.11434,0.13678741,96.87388
419,27131,100.00645,-1.0,12.684404,0.12683587,101.00645
420,27139,103.89875,-1.0,13.079779,0.12588966,104.89875
421,27141,100.885826,-1.0,15.010072,0.14878276,101.885826
422,27143,98.7604,-1.0,12.445146,0.12601352,99.7604
423,27145,104.64629,-1.0,14.25659,0.13623598,105.64629
424,27147,97.034706,-1.0,12.331168,0.12707998,98.034706
425,27149,86.380516,-1.0,14.390089,0.16658953,87.380516
426,27151,93.76736,-1.0,14.445804,0.15406005,94.76736
427,27153,103.5485,-1.0,14.379151,0.13886392,104.5485
428,27157,106.0331,-1.0,12.33769,0.11635698,107.0331
429,27159,105.6957,-1.0,14.808364,0.14010374,106.6957
430,27161,98.06939,-1.0,12.438609,0.12683478,99.06939
431,27163,100.2887,-1.0,14.744071,0.14701629,101.2887
432,27165,108.083275,-1.0,13.019464,0.12045771,109.083275
433,27167,90.73274,-1.0,14.422012,0.15895048,91.73274
434,27169,108.6596,-1.0,12.255875,0.11279146,109.6596
435,29005,128.01904,-1.0,13.555773,0.105888724,129.01904
436,29007,79.19736,-1.0,14.868875,0.18774457,80.19736
437,29009,70.38726,-1.0,17.591164,0.24991971,71.38726
438,29011,74.826706,-1.0,17.054798,0.22792394,75.826706
439,29019,76.065575,-1.0,14.883145,0.19566204,77.065575
440,29021,117.58949,-1.0,14.209301,0.12083819,118.58949
441,29025,97.02216,-1.0,14.542204,0.14988539,98.02216
442,29027,72.553276,-1.0,14.620548,0.20151465,73.553276
443,29031,82.62919,-1.0,15.959352,0.19314423,83.62919
444,29033,112.02204,-1.0,14.587565,0.13022049,113.02204
445,29037,82.92031,-1.0,16.236277,0.19580579,83.92031
446,29039,74.880356,-1.0,16.5883,0.22153074,75.880356
447,29047,117.85856,-1.0,15.326688,0.13004306,118.85856
448,29049,107.70341,-1.0,14.623687,0.13577738,108.70341
449,29051,75.62368,-1.0,15.331339,0.20273198,76.62368
450,29057,66.579666,-1.0,17.101028,0.25685063,67.579666
451,29061,103.1114,-1.0,14.115964,0.13690013,104.1114
452,29069,83.24365,-1.0,16.358597,0.19651465,84.24365
453,29071,74.102806,-1.0,15.565358,0.21005087,75.102806
454,29079,103.42756,-1.0,14.180987,0.13711034,104.42756
455,29081,106.671555,-1.0,13.805036,0.12941627,107.671555
456,29095,111.873604,-1.0,15.715198,0.1404728,112.873604
457,29101,84.308235,-1.0,16.033257,0.19017427,85.308235
458,29107,112.55047,-1.0,14.706052,0.13066185,113.55047
459,29109,76.008606,-1.0,16.730833,0.22011761,77.008606
460,29111,105.10907,-1.0,13.714424,0.13047802,106.10907
461,29113,77.88673,-1.0,15.32837,0.19680336,78.88673
462,29117,105.68267,-1.0,14.115839,0.13356815,106.68267
463,29121,96.08439,-1.0,14.211486,0.14790629,97.08439
464,29125,77.07695,-1.0,15.020659,0.19487874,78.07695
465,29127,100.460304,-1.0,14.02587,0.13961604,101.460304
466,29131,71.079895,-1.0,15.802159,0.22231546,72.079895
467,29133,80.45121,-1.0,17.492065,0.21742451,81.45121
468,29135,78.48209,-1.0,15.491082,0.19738366,79.48209
469,29137,86.98289,-1.0,14.669532,0.16864848,87.98289
470,29143,93.23756,-1.0,16.104107,0.17272125,94.23756
471,29155,94.31617,-1.0,15.492003,0.16425607,95.31617
472,29157,63.225513,-1.0,15.609853,0.24689168,64.22551
473,29163,88.13727,-1.0,15.048799,0.17074274,89.13727
474,29165,116.127304,-1.0,14.860137,0.1279642,117.127304
475,29171,106.64869,-1.0,13.696478,0.12842612,107.64869
476,29173,85.53098,-1.0,14.494977,0.16947049,86.53098
477,29175,90.01297,-1.0,14.722631,0.16356122,91.01297
478,29183,81.6616,-1.0,14.443085,0.17686507,82.6616
479,29185,75.56181,-1.0,16.07228,0.21270375,76.56181
480,29195,117.55736,-1.0,14.124559,0.120150365,118.55736
481,29199,114.966606,-1.0,13.749872,0.119598836,115.966606
482,29201,95.31728,-1.0,17.075829,0.17914724,96.31728
483,29205,95.99416,-1.0,14.249629,0.14844266,96.99416
484,29207,97.82548,-1.0,15.912693,0.1626641,98.82548
485,29211,106.260994,-1.0,14.0146,0.13188846,107.260994
486,29219,72.99189,-1.0,14.8617525,0.20360827,73.99189
487,29227,109.89195,-1.0,13.541072,0.12322169,110.89195
488,31001,122.364784,-1.0,14.392516,0.11761975,123.364784
489,31013,85.94875,-1.0,17.055487,0.19843785,86.94875
490,31015,89.41842,-1.0,16.403881,0.1834508,90.41842
491,31017,111.968636,-1.0,16.60715,0.14831965,112.968636
492,31019,115.12685,-1.0,14.245017,0.12373324,116.12685
493,31021,105.300285,-1.0,14.249501,0.13532253,106.300285
494,31023,115.66509,-1.0,13.457103,0.11634541,116.66509
495,31025,111.881325,-1.0,13.664378,0.122132786,112.881325
496,31027,104.156715,-1.0,14.459137,0.13882098,105.156715
497,31029,96.83561,-1.0,16.627861,0.17171225,97.83561
498,31033,70.123764,-1.0,16.320278,0.23273534,71.123764
499,31035,121.78838,-1.0,13.8460865,0.11368971,122.78838
500,31037,107.438965,-1.0,14.28394,0.13294935,108.438965
