,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
483,31163,13.697531,13.35905,203.52943,198.5,0.6527453,5.029434
484,31167,13.401683,12.95525,199.13348,192.5,0.542503,6.633484
485,31169,14.114879,12.45723,209.73074,185.09999,0.6017175,24.630753
486,31175,14.1103735,14.23395,209.6638,211.5,0.6373045,-1.8361969
487,31177,13.041292,11.88518,193.77849,176.6,0.5403723,17.178482
488,31179,14.289545,12.88122,212.32608,191.4,0.42280287,20.926086
489,31181,12.452139,11.40735,185.02435,169.5,0.6730321,15.524353
490,31183,14.015885,15.21653,208.25981,226.1,0.91185516,-17.840195
491,31185,15.828803,15.29056,235.19768,227.2,0.46644324,7.9976807
492,38001,5.4289575,5.88875,80.668015,87.5,1.1709474,-6.8319855
493,38003,10.672962,11.17853,158.58784,166.09999,0.65335727,-7.512146
494,38005,9.75807,9.63063,144.9936,143.09999,0.7750436,1.8936157
495,38007,4.533908,4.43507,67.368614,65.9,1.2803152,1.4686127
496,38009,9.231488,9.12588,137.16922,135.6,0.7554429,1.5692139
497,38013,7.75813,5.82145,115.276825,86.50001,0.9236348,28.776817
498,38015,8.591797,8.56056,127.66415,127.200005,0.80414224,0.46414185
499,38017,10.8910475,11.52849,161.82834,171.3,0.6559279,-9.471664
500,38019,8.489709,9.45565,126.14724,140.5,0.80476034,-14.35276
501,38021,11.175087,10.9699,166.04884,163.0,0.7354635,3.0488434
502,38025,5.408059,6.38677,80.35749,94.899994,1.1014224,-14.542503
503,38027,9.548199,10.41804,141.87517,154.8,0.82887226,-12.924835
504,38029,8.852641,8.6817,131.54,129.0,0.79775095,2.5399933
505,38031,9.739362,10.69397,144.71562,158.9,0.7070081,-14.184372
506,38035,9.703245,10.47188,144.17899,155.6,0.7424364,-11.4210205
507,38039,9.705379,10.7007,144.21068,159.0,0.7164406,-14.789322
508,38043,9.811096,9.6912,145.78152,144.0,0.8240363,1.7815247
509,38047,9.559864,9.87964,142.04851,146.8,0.82897806,-4.7514954
510,38049,9.079381,8.71535,134.90907,129.5,0.9235696,5.409073
511,38051,9.402936,9.36143,139.71674,139.1,0.7949174,0.61672974
512,38055,8.068066,7.40973,119.8821,110.1,0.76916486,9.7821045
513,38059,7.227293,7.88083,107.3892,117.1,1.0158079,-9.7108
514,38061,7.63359,7.01266,113.42631,104.200005,0.9376724,9.226303
515,38063,8.911109,8.85668,132.40875,131.6,0.8274049,0.80874634
516,38065,8.229361,8.43269,122.27876,125.299995,0.89513177,-3.0212326
517,38067,9.670049,10.0277,143.68571,149.00002,0.8254892,-5.3143005
518,38069,8.970906,8.92398,133.29727,132.59999,0.9104961,0.6972809
519,38073,11.1248045,12.55145,165.3017,186.5,0.7969663,-21.198303
520,38075,8.5668,8.00197,127.292725,118.90001,0.8977867,8.392715
