,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
177,19113,13.855095,15.48573,205.87065,230.1,0.4860645,-24.229355,"Linn County, IA"
178,19115,13.803863,14.43585,205.1094,214.5,0.5017832,-9.3905945,"Louisa County, IA"
179,19119,12.867779,13.37924,191.20029,198.8,0.4853379,-7.599716,"Lyon County, IA"
180,19123,13.969221,15.00117,207.56644,222.90001,0.4807893,-15.333572,"Mahaska County, IA"
181,19125,13.305314,14.67813,197.70155,218.1,0.526136,-20.398453,"Marion County, IA"
182,19127,14.557484,14.95406,216.30734,222.2,0.409608,-5.8926544,"Marshall County, IA"
183,19129,13.964444,14.19357,207.49545,210.90001,0.46351963,-3.4045563,"Mills County, IA"
184,19131,13.532066,14.32144,201.07083,212.8,0.4549088,-11.729172,"Mitchell County, IA"
185,19133,12.77549,12.9216,189.82898,192.0,0.5045172,-2.1710205,"Monona County, IA"
186,19135,12.157489,12.90141,180.6462,191.7,0.56950223,-11.0538025,"Monroe County, IA"
187,19137,14.028959,14.52334,208.45407,215.8,0.4656368,-7.345932,"Montgomery County, IA"
188,19139,14.486259,14.83292,215.24902,220.40001,0.47371492,-5.1509857,"Muscatine County, IA"
189,19141,12.626605,13.3927,187.61671,199.0,0.44281948,-11.3832855,"O'Brien County, IA"
190,19145,13.661783,14.07243,202.99826,209.09999,0.4766719,-6.1017303,"Page County, IA"
191,19147,11.580378,12.26879,172.07098,182.3,0.5670939,-10.229019,"Palo Alto County, IA"
192,19149,13.884022,13.16388,206.30048,195.6,0.43612197,10.70047,"Plymouth County, IA"
193,19151,13.132621,13.6619,195.13553,203.0,0.47394466,-7.8644714,"Pocahontas County, IA"
194,19153,13.435758,14.6714,199.63979,218.0,0.5311496,-18.360214,"Polk County, IA"
195,19157,14.17771,15.0079,210.66434,223.0,0.46070197,-12.335663,"Poweshiek County, IA"
196,19161,14.382383,15.41843,213.70555,229.1,0.42970723,-15.394455,"Sac County, IA"
197,19163,15.116573,15.76166,224.61476,234.2,0.4877579,-9.585236,"Scott County, IA"
198,19169,13.426934,14.50315,199.50868,215.5,0.4536391,-15.991318,"Story County, IA"
199,19173,12.478681,12.96871,185.41873,192.7,0.51666427,-7.2812653,"Taylor County, IA"
200,19185,11.722609,13.11004,174.18437,194.8,0.55540526,-20.615631,"Wayne County, IA"
201,19187,13.637587,14.24068,202.63873,211.59999,0.4638446,-8.961258,"Webster County, IA"
202,19189,12.255137,12.28898,182.09714,182.59999,0.50923663,-0.5028534,"Winnebago County, IA"
203,19191,13.342478,14.27433,198.25375,212.1,0.4906008,-13.846252,"Winneshiek County, IA"
204,19193,14.010072,13.89072,208.17343,206.40001,0.47038022,1.7734222,"Woodbury County, IA"
205,19195,12.806252,13.36578,190.28606,198.6,0.4748424,-8.31395,"Worth County, IA"
206,20001,9.5581,8.60767,142.0223,127.9,0.9700039,14.122292,"Allen County, KS"
207,20003,10.273282,8.9509,152.64906,133.0,0.8150756,19.649063,"Anderson County, KS"
208,20005,12.153361,13.18407,180.58487,195.9,0.61720264,-15.3151245,"Atchison County, KS"
209,20011,9.156544,7.6722,136.05563,114.00001,0.93778557,22.055626,"Bourbon County, KS"
210,20013,13.063052,13.5946,194.10182,202.0,0.53325653,-7.898178,"Brown County, KS"
211,20015,8.257238,7.78661,122.69299,115.700005,0.86719483,6.9929886,"Butler County, KS"
212,20017,10.254574,10.94298,152.37108,162.6,0.85535175,-10.228928,"Chase County, KS"
213,20029,9.487661,7.71931,140.97565,114.7,0.78220975,26.27565,"Cloud County, KS"
214,20031,9.669394,8.67497,143.67598,128.9,0.88394165,14.775986,"Coffey County, KS"
215,20035,8.569091,7.51741,127.32676,111.7,0.88715744,15.626762,"Cowley County, KS"
216,20041,9.577125,8.9509,142.30498,133.0,0.84963757,9.304977,"Dickinson County, KS"
217,20045,10.76853,11.81115,160.00787,175.5,0.80649525,-15.492126,"Douglas County, KS"
218,20047,12.331197,10.08827,183.2273,149.90001,1.1453537,33.327286,"Edwards County, KS"
219,20053,7.2694554,6.00316,108.015686,89.200005,0.9367768,18.815681,"Ellsworth County, KS"
220,20059,10.804964,12.0467,160.54924,179.0,0.7984883,-18.45076,"Franklin County, KS"
221,20061,11.872255,10.62667,176.40796,157.9,0.69352984,18.507965,"Geary County, KS"
222,20063,5.8236647,4.97347,86.532906,73.9,1.0116091,12.632904,"Gove County, KS"
223,20065,6.334243,5.26959,94.11951,78.3,0.8699587,15.819504,"Graham County, KS"
224,20067,10.537789,15.2771,156.57935,227.0,1.4234993,-70.420654,"Grant County, KS"
225,20069,12.425489,10.57956,184.62837,157.20001,1.3945293,27.42836,"Gray County, KS"
226,20073,7.925022,6.83095,117.756645,101.5,0.8753404,16.256645,"Greenwood County, KS"
227,20075,6.607073,4.48891,98.17345,66.700005,1.2844752,31.473442,"Hamilton County, KS"
228,20081,12.942736,13.15042,192.31406,195.40001,1.2979301,-3.0859528,"Haskell County, KS"
229,20085,11.340873,11.47465,168.51222,170.5,0.6846071,-1.9877777,"Jackson County, KS"
230,20095,9.245965,11.33332,137.38432,168.4,1.0856057,-31.01567,"Kingman County, KS"
231,20099,7.718521,7.10688,114.68828,105.600006,1.0048691,9.088272,"Labette County, KS"
232,20103,11.416821,12.54472,169.64072,186.4,0.676963,-16.759277,"Leavenworth County, KS"
233,20111,10.233301,8.9509,152.055,133.0,0.735065,19.054993,"Lyon County, KS"
234,20113,9.074433,8.97782,134.83556,133.40001,0.98880583,1.4355469,"McPherson County, KS"
235,20115,8.011756,9.13261,119.04541,135.70001,0.94581264,-16.654602,"Marion County, KS"
236,20119,13.418894,11.1045,199.3892,165.0,1.3710268,34.389206,"Meade County, KS"
237,20121,9.752279,10.49207,144.90756,155.90001,0.951097,-10.992447,"Miami County, KS"
238,20123,7.352183,5.41765,109.24492,80.50001,0.87495816,28.744911,"Mitchell County, KS"
239,20125,8.26766,7.47703,122.84785,111.1,0.9653449,11.7478485,"Montgomery County, KS"
240,20127,9.632066,10.03443,143.12134,149.09999,0.82334596,-5.978653,"Morris County, KS"
241,20131,11.928851,12.88795,177.2489,191.5,0.64331645,-14.251099,"Nemaha County, KS"
242,20133,8.675087,6.63578,128.90173,98.6,1.0268095,30.301735,"Neosho County, KS"
243,20135,5.477332,4.15914,81.38681,61.800003,1.0197482,19.586807,"Ness County, KS"
244,20143,9.8929405,7.4703,146.99763,111.00001,0.7732441,35.997627,"Ottawa County, KS"
245,20151,11.962618,10.768,177.75064,160.0,0.99028194,17.75064,"Pratt County, KS"
246,20153,4.8726106,5.47822,72.401344,81.4,0.9969327,-8.998657,"Rawlins County, KS"
247,20155,10.811584,11.58906,160.64761,172.2,1.0379193,-11.552383,"Reno County, KS"
248,20157,11.64332,10.00078,173.00624,148.6,0.6621866,24.406235,"Republic County, KS"
249,20159,8.27108,9.54987,122.89867,141.9,1.0783387,-19.001328,"Rice County, KS"
250,20161,11.149866,10.00751,165.67409,148.7,0.7695843,16.97409,"Riley County, KS"
251,20167,6.190876,3.93705,91.98924,58.500004,0.94248587,33.48924,"Russell County, KS"
252,20169,8.473255,7.86737,125.902756,116.9,0.971832,9.002754,"Saline County, KS"
253,20171,6.493084,5.02058,96.479706,74.6,1.1794842,21.879707,"Scott County, KS"
254,20173,9.788426,10.20941,145.44467,151.7,0.98208797,-6.2553253,"Sedgwick County, KS"
255,20177,11.950903,11.90537,177.57657,176.9,0.71109134,0.6765747,"Shawnee County, KS"
256,20181,7.3083315,7.59817,108.59334,112.9,1.0419204,-4.3066635,"Sherman County, KS"
257,20185,11.72562,12.9216,174.22913,192.0,1.0503423,-17.770874,"Stafford County, KS"
258,20189,13.05944,12.7197,194.04814,189.0,1.3626251,5.0481415,"Stevens County, KS"
259,20191,8.029927,5.57244,119.315414,82.8,1.0192629,36.51541,"Sumner County, KS"
260,20193,6.1836405,4.79849,91.88173,71.3,1.0112928,20.581726,"Thomas County, KS"
261,20197,11.377436,10.97663,169.05551,163.1,0.72424364,5.9555054,"Wabaunsee County, KS"
262,20203,6.944034,5.28305,103.1803,78.5,1.1755233,24.680298,"Wichita County, KS"
263,20205,8.1519575,7.21456,121.12864,107.200005,1.0474507,13.928635,"Wilson County, KS"
264,20207,8.876625,8.37212,131.89636,124.4,0.94724524,7.496361,"Woodson County, KS"
265,26005,13.038305,11.94575,193.7341,177.5,0.67426485,16.2341,"Allegan County, MI"
266,26007,9.47772,10.33055,140.82794,153.5,0.7854662,-12.672058,"Alpena County, MI"
267,26009,9.819495,7.53087,145.90633,111.9,0.86871797,34.006325,"Antrim County, MI"
268,26011,11.308219,11.15834,168.02702,165.8,0.6910511,2.2270203,"Arenac County, MI"
269,26015,12.640362,13.85707,187.82112,205.90001,0.58834815,-18.078888,"Barry County, MI"
270,26017,12.018475,13.45327,178.58061,199.9,0.5967908,-21.319382,"Bay County, MI"
271,26021,11.806967,11.58233,175.43785,172.09999,0.7079551,3.33786,"Berrien County, MI"
272,26025,12.474026,10.97663,185.34956,163.1,0.5375477,22.249557,"Calhoun County, MI"
273,26027,12.528123,11.46119,186.15338,170.3,0.64066297,15.853378,"Cass County, MI"
274,26029,9.754456,7.74623,144.93991,115.100006,0.841082,29.839905,"Charlevoix County, MI"
275,26035,10.438758,10.53918,155.10785,156.6,0.8662583,-1.492157,"Clare County, MI"
276,26037,12.573835,12.7197,186.83263,189.0,0.51980346,-2.1673737,"Clinton County, MI"
277,26041,8.975754,7.41646,133.3693,110.200005,0.9050654,23.169289,"Delta County, MI"
