,FIPS,y_test_pred,y_test
807,46135,25.252993,176.4
808,55005,12.674175,150.4
809,55007,1.931745,122.9
810,55009,17.215929,175.6
811,55011,14.606671,186.2
812,55013,10.772692,124.3
813,55015,16.025011,172.9
814,55017,12.639635,167.1
815,55019,10.923676,149.4
816,55021,18.536486,185.1
817,55023,17.269552,154.5
818,55025,18.73754,196.9
819,55027,18.993982,199.9
820,55029,11.974464,165.1
821,55033,15.940654,182.9
822,55035,15.695691,169.0
823,55039,17.46017,192.5
824,55043,19.531797,207.8
825,55045,19.462393,185.2
826,55049,16.915712,195.5
827,55053,16.124554,160.5
828,55055,18.217546,180.8
829,55057,16.31655,142.3
830,55059,19.009138,182.5
831,55061,14.00714,167.0
832,55063,15.520592,162.7
833,55065,19.013529,210.0
834,55067,8.935724,149.1
835,55069,7.881382,146.8
836,55071,15.944614,171.8
837,55073,9.660425,153.8
838,55075,10.623333,161.6
839,55077,18.500195,159.1
840,55079,21.625813,197.3
841,55081,14.433035,157.5
842,55083,13.218908,168.7
843,55087,16.117636,163.1
844,55089,16.375975,182.3
845,55091,15.835572,182.9
846,55093,16.717455,200.0
847,55095,14.723466,145.3
848,55097,16.19061,149.6
849,55099,2.2608347,134.6
850,55101,18.015589,191.5
851,55103,14.611296,148.8
852,55105,19.44728,187.2
853,55107,6.3668804,155.6
854,55109,16.529356,182.3
855,55111,15.431454,158.6
856,55113,2.9834623,133.0
857,55115,12.752069,165.1
858,55117,16.591589,183.0
859,55119,7.2350307,167.1
860,55121,13.866104,147.1
861,55123,16.259464,140.0
862,55127,18.244795,192.4
863,55129,8.735693,132.6
864,55131,16.98687,164.4
865,55133,17.960497,172.4
866,55135,13.192562,162.4
867,55137,20.400566,179.7
868,55139,16.1396,176.1
869,55141,13.752151,157.0
