,FIPS,pred,yield,uncertainty
718,17121,60.331776,57.5,2.6069655
719,39119,55.59202,55.5,2.7817378
720,20191,18.549911,15.8,3.5921621
721,29219,51.776787,47.4,3.1020522
722,31035,55.819157,55.8,2.6895945
723,19093,58.64948,56.8,2.229808
724,19067,54.92835,52.8,2.0639725
725,38087,26.933931,41.1,3.4779568
726,39155,53.99576,54.0,3.0709026
727,55063,48.40476,44.0,3.0313544
728,18061,55.001385,54.8,2.6441
729,27153,38.306637,32.0,3.9865658
731,18035,60.805206,58.8,2.1958005
732,19129,58.983845,53.3,2.7975464
733,17167,66.10092,72.1,2.5829344
734,26121,48.386417,44.1,3.1743171
735,55099,38.458683,37.0,5.5321445
736,18097,51.007298,52.2,3.7379498
737,31133,47.41834,50.2,2.80982
739,31043,56.902546,52.7,2.6659908
740,19165,57.3641,53.3,2.4657857
741,27103,53.167362,55.1,2.155863
742,17203,65.13597,67.4,2.1408856
743,26157,54.310787,53.3,2.2182167
744,55135,44.14759,47.6,3.568773
745,18133,65.19461,67.7,2.2672544
747,31079,59.658253,62.9,2.7852354
748,19137,57.250626,54.6,2.6765745
749,46013,48.467857,48.4,2.6244125
750,17009,61.85834,62.4,2.7561755
751,39007,51.533985,46.3,2.9913857
752,55107,40.331913,43.8,4.5251493
753,20015,19.031864,12.1,3.3795016
754,18169,61.47787,60.0,2.2772808
755,31141,60.054287,56.8,2.6084375
757,26107,45.55294,40.8,3.375973
758,19173,58.18332,54.7,2.538367
759,29013,39.232777,36.9,3.0441468
760,17079,64.48759,61.7,2.653007
761,27111,41.330677,33.7,3.1359546
762,39069,58.892597,60.2,2.2519176
763,31177,50.554333,43.3,2.9009106
764,29083,36.54322,33.9,3.1048853
765,29049,57.548336,54.3,2.857275
766,46021,39.345142,44.5,2.8876565
767,38011,17.506235,34.0,3.8161414
768,39041,57.526917,58.3,2.217823
769,39015,56.980255,55.0,2.3790789
770,20113,17.327827,17.3,3.4372234
771,29205,48.71848,40.3,2.5991347
772,20087,47.2234,46.2,3.196776
774,46097,34.97065,38.1,3.0933263
775,38073,45.844543,41.0,2.2756937
776,46057,46.85358,50.9,2.8335497
777,39077,59.12276,55.8,2.1365557
778,55019,45.239487,46.7,3.61048
779,19025,58.54854,57.4,2.143536
780,17123,66.04672,68.8,2.1531637
781,39113,57.75616,57.7,2.6863925
782,31029,50.473057,56.3,3.4047487
783,19095,56.932293,58.2,2.4148364
784,29127,50.37073,52.7,2.6393647
785,19061,59.387367,57.0,2.283196
786,27025,37.1856,40.3,4.823139
787,38081,46.572422,43.7,2.2656236
788,39149,60.408905,57.4,2.07144
789,55057,43.323456,38.5,3.1421251
790,18063,63.322155,69.8,2.2660015
791,27155,46.411564,42.4,2.381581
793,18029,51.35428,50.8,3.0445838
794,31065,32.900646,42.3,3.8735116
795,19131,54.478683,46.9,1.9915189
796,29163,51.84064,49.0,2.84802
797,27061,32.602154,34.7,5.360229
798,17161,63.1002,63.5,2.5075634
799,26123,48.791046,43.5,3.4869723
800,55093,52.358547,53.9,3.1623874
801,18099,60.838017,53.9,2.2640533
802,27097,35.057137,38.2,4.4654803
803,17197,56.40157,57.7,2.4706059
804,26159,50.925243,43.3,3.003605
805,55129,35.66305,33.7,4.8082976
806,18135,62.473866,59.6,2.0473557
807,31073,52.579426,59.8,2.7863646
808,26065,52.962063,48.7,2.3416777
809,19139,60.66393,62.4,2.1584795
810,17037,61.529125,64.8,1.9977837
811,46015,37.43771,35.4,3.5484767
812,27133,53.7777,55.4,2.6033869
813,17011,64.74893,66.9,2.1984487
814,20009,20.599262,17.0,3.5673456
815,31143,54.278263,50.7,2.820475
817,19175,59.612953,59.9,2.5311267
818,29015,46.972404,46.8,2.9076667
819,17073,63.393444,65.2,2.1078415
