,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
167,19041,3.9367204,4.19952,58.495102,62.4,0.14457467,-3.9048996
168,19045,4.138334,4.30047,61.490845,63.899998,0.12198397,-2.409153
169,19047,4.186257,4.27355,62.202927,63.5,0.1707229,-1.2970734
170,19049,3.942655,4.28028,58.583286,63.600002,0.18318656,-5.016716
171,19051,3.415267,3.81591,50.74691,56.7,0.1566635,-5.9530907
172,19053,3.4502718,3.8361,51.26704,57.000004,0.18109958,-5.7329636
173,19055,4.215262,4.46872,62.633907,66.4,0.15057942,-3.7660942
174,19059,3.4738317,3.7688,51.61711,56.0,0.15425585,-4.382889
175,19061,4.131969,4.74465,61.39627,70.5,0.13405947,-9.103729
176,19063,3.6308837,4.01108,53.950726,59.6,0.13827035,-5.649273
177,19065,4.012967,4.33412,59.62804,64.399994,0.13448106,-4.7719536
178,19069,4.0637693,4.01781,60.382904,59.699997,0.16037917,0.6829071
179,19071,4.271956,4.24663,63.476315,63.100002,0.21329673,0.37631226
180,19073,4.114583,4.31393,61.137936,64.1,0.17257163,-2.9620628
181,19075,4.3623185,4.47545,64.819,66.5,0.13514265,-1.6809998
182,19079,3.9861183,4.18606,59.2291,62.2,0.15844974,-2.9709015
183,19081,4.152096,4.27355,61.69533,63.5,0.13561784,-1.8046684
184,19083,4.077774,4.3745,60.590996,65.0,0.16752455,-4.409004
185,19087,3.7611542,3.92359,55.88639,58.3,0.15303895,-2.4136086
186,19089,3.9062192,4.05819,58.041893,60.3,0.13035423,-2.2581062
187,19091,4.0285845,4.19952,59.860096,62.4,0.1440927,-2.5399055
188,19093,4.3238525,4.41488,64.24744,65.6,0.15315627,-1.352562
189,19099,4.1495657,4.52929,61.657738,67.3,0.16510698,-5.6422653
190,19101,3.5803819,3.62747,53.200325,53.9,0.1822122,-0.6996765
191,19105,4.0147343,4.34085,59.6543,64.5,0.13382821,-4.8456993
192,19109,4.048881,4.06492,60.161682,60.4,0.13747115,-0.2383194
193,19111,3.7592566,4.01781,55.858196,59.699997,0.16814509,-3.8418007
194,19117,3.3005981,3.64093,49.043064,54.1,0.16985913,-5.0569344
195,19119,4.127283,4.28028,61.326645,63.600002,0.14760143,-2.2733574
196,19121,3.703786,3.95724,55.033966,58.800003,0.17772599,-3.766037
197,19123,4.079561,4.1726,60.617554,61.999996,0.15565693,-1.3824425
198,19125,3.826177,4.07838,56.852554,60.600002,0.1690128,-3.747448
199,19127,4.2004576,4.51583,62.413933,67.1,0.14994875,-4.6860657
200,19131,4.069366,4.20625,60.466064,62.500004,0.14244232,-2.0339394
201,19133,3.979475,4.15914,59.130386,61.800003,0.25538188,-2.6696167
202,19135,3.4018772,3.99089,50.54795,59.3,0.17306507,-8.7520485
203,19137,4.095137,4.2399,60.84899,63.000004,0.18568769,-2.1510124
204,19139,4.187322,4.21298,62.218754,62.6,0.13337183,-0.38124466
205,19141,4.186794,4.46872,62.210903,66.4,0.13541943,-4.1890984
206,19143,3.952682,4.23317,58.732273,62.9,0.13819005,-4.1677284
207,19145,4.126971,4.21298,61.322002,62.6,0.19480269,-1.2779961
208,19147,3.8989172,4.14568,57.93339,61.6,0.15028448,-3.666607
209,19151,4.0942907,4.3745,60.836414,65.0,0.14318107,-4.1635857
210,19153,3.7960536,4.34758,56.404957,64.6,0.17341602,-8.195042
211,19155,4.220002,4.33412,62.70434,64.399994,0.1864904,-1.695652
212,19159,3.5116687,3.6342,52.17933,54.000004,0.19257581,-1.8206749
213,19163,4.3064184,4.58313,63.988388,68.1,0.13027474,-4.1116104
214,19167,4.3412247,4.74465,64.50557,70.5,0.14924636,-5.9944305
215,19169,3.8771434,4.28028,57.60986,63.600002,0.16131431,-5.990143
216,19171,4.17962,4.46199,62.104305,66.299995,0.14178336,-4.19569
217,19173,3.8425238,4.12549,57.09545,61.300003,0.18610743,-4.2045517
218,19175,3.8977962,4.16587,57.916733,61.900005,0.18087615,-3.9832726
219,19177,3.3712935,3.5669,50.093513,53.0,0.16735432,-2.9064865
220,19179,3.7755523,3.9707,56.10033,59.0,0.15758458,-2.8996696
221,19185,3.393332,3.84283,50.420982,57.1,0.17458186,-6.679016
222,19187,4.033832,4.34758,59.93807,64.6,0.16071184,-4.66193
223,19189,3.955445,4.14568,58.77333,61.6,0.12831342,-2.8266678
224,19191,3.8639169,4.15914,57.413326,61.800003,0.15043253,-4.386677
225,19195,3.7583494,4.04473,55.84472,60.100002,0.1442,-4.2552834
226,19197,4.0197253,4.1053,59.72846,61.0,0.14162615,-1.2715416
227,20003,2.5659776,2.81314,38.127453,41.8,0.16566381,-3.6725464
228,20005,3.5100422,3.61401,52.15516,53.7,0.21924564,-1.5448418
229,20007,1.7000656,1.92478,25.261005,28.6,0.555918,-3.338995
230,20009,2.508911,2.53721,37.279507,37.7,0.6795568,-0.42049408
231,20011,2.6213799,2.22763,38.95067,33.1,0.19259371,5.85067
232,20013,4.1819925,4.36104,62.139565,64.8,0.2930194,-2.6604385
233,20015,2.5494068,2.41607,37.88123,35.9,0.22280835,1.9812279
234,20017,2.704522,2.81314,40.18606,41.8,0.2108831,-1.6139374
235,20019,2.0046198,1.26524,29.786327,18.8,0.19787161,10.986328
236,20021,2.5143006,2.16706,37.359592,32.199997,0.19457406,5.1595955
237,20029,3.3177977,2.67854,49.29863,39.8,0.60646546,9.498631
238,20031,2.3511746,2.43626,34.93573,36.2,0.18935236,-1.2642708
239,20035,1.9871633,1.79018,29.526943,26.6,0.21573399,2.9269428
240,20037,2.761255,2.30166,41.02905,34.2,0.20893364,6.829048
241,20041,2.7395213,2.69873,40.706112,40.1,0.22752,0.60611343
242,20043,4.264467,4.32739,63.365036,64.3,0.21976167,-0.93496704
243,20045,2.98434,2.42953,44.343834,36.1,0.18094125,8.243835
244,20047,3.790002,3.76207,56.31504,55.9,1.1299946,0.41503906
245,20049,2.3945374,2.26801,35.58005,33.7,0.18885413,1.8800507
246,20053,2.2803178,2.30839,33.88288,34.3,0.4838374,-0.41711807
247,20059,2.8102977,2.48337,41.757767,36.9,0.17997395,4.857765
248,20061,3.1906872,2.73238,47.409912,40.6,0.30715978,6.8099136
249,20067,3.4311523,3.57363,50.98295,53.100002,0.55587965,-2.117054
250,20069,3.8222852,4.01781,56.794727,59.699997,0.8618152,-2.9052696
251,20073,2.6920288,2.07284,40.000427,30.8,0.16572912,9.200428
252,20077,1.5986258,1.6152,23.753727,24.0,0.30058187,-0.24627304
253,20079,2.86943,2.85352,42.636406,42.399998,0.28674686,0.23640823
254,20081,3.9991186,4.21298,59.422268,62.6,0.79971147,-3.1777306
255,20085,3.2619615,3.0285,48.468967,45.0,0.27303943,3.4689674
256,20087,3.4900446,3.4996,51.858017,52.0,0.23280069,-0.14198303
257,20089,3.119545,2.77276,46.352825,41.2,0.554068,5.1528244
258,20091,2.8244736,2.61124,41.968407,38.8,0.19145928,3.1684074
259,20095,2.027317,2.38242,30.123583,35.4,0.4162231,-5.2764187
260,20097,3.5469785,3.365,52.70399,50.0,1.1289113,2.703991
261,20099,2.1935844,1.64212,32.594124,24.4,0.20266736,8.194124
262,20103,3.2054658,2.8266,47.62951,42.0,0.1796607,5.629509
263,20107,2.6803694,2.25455,39.827183,33.5,0.18225463,6.327183
264,20111,2.5357652,2.42953,37.67853,36.1,0.1987317,1.5785332
265,20113,2.7531788,2.31512,40.909046,34.4,0.2685327,6.5090446
266,20115,2.3308208,2.57759,34.633297,38.3,0.24357654,-3.6667023
267,20117,3.5152116,3.22367,52.23197,47.9,0.42925066,4.33197
268,20119,4.117334,4.65043,61.17881,69.100006,0.8761877,-7.921196
269,20121,2.9213977,3.10253,43.408585,46.100002,0.17430593,-2.6914177
